FID,WSO1_ID,FOOTPRINT,FACADE
17188,334213.000000000000000,71778.270000000004000,111357.907609000000000
17189,350050.000000000000000,86831.654110699994000,116579.813832000000000
17190,338820.000000000000000,66401.919999999998000,103016.942517000000000
17191,332746.000000000000000,331702.630000000000000,514608.523300000000000
17192,378999.000000000000000,843.329469999000030,2018.276501760000000
17193,370236.000000000000000,3954.526890680000200,9177.718067769999800
17194,363740.000000000000000,66815.637003099997000,169419.615227000000000
17195,346926.000000000000000,89571.009281000006000,150476.121189000000000
17196,369557.000000000000000,87973.215699599998000,180573.966729000010000
17197,360168.000000000000000,7115.770000000000400,11039.512314600001000
17198,352900.000000000000000,95790.909999700001000,156084.481917000000000
17199,371787.000000000000000,12293.199500700000000,31327.246605799999000
17200,345886.000000000000000,284669.620000000000000,441640.735534999990000
17201,363976.000000000000000,0.000000000000000,0.000000000000000
17202,364797.000000000000000,0.000000000000000,0.000000000000000
17203,371753.000000000000000,10950.836702200000000,33678.100586000000000
17204,373458.000000000000000,5550.859300639999700,12194.319386800000000
17205,352011.000000000000000,557060.079999999960000,864231.517309000020000
17206,337436.000000000000000,614407.640000000010000,953201.361366000030000
17207,354888.000000000000000,1299.110000019999900,2703.746905150000200
17208,361404.000000000000000,266806.031205000010000,390931.335517000000000
17209,376409.000000000000000,316.034447317000000,0.000000000000000
17210,352122.000000000000000,98440.759999999995000,152722.530921000000000
17211,346789.000000000000000,187918.350000000010000,291539.461925000010000
17212,349145.000000000000000,103996.610000000000000,161341.919770999990000
17213,354712.000000000000000,29257.094999800000000,54918.956095599999000
17214,373999.000000000000000,2125.657619709999800,7306.074563260000100
17215,369164.000000000000000,2773.549018090000100,6666.802677710000400
17216,355809.000000000000000,17555.285100100002000,31392.786323200002000
17217,377670.000000000000000,8199.063932150000300,19713.218631399999000
17218,350347.000000000000000,1604.005000090000100,4167.423280000000000
17219,378545.000000000000000,13120.536647800000000,38696.925068899996000
17220,361802.000000000000000,41800.571464000001000,80612.358836200001000
17221,370237.000000000000000,53641.442803099999000,144195.605966000000000
17222,333951.000000000000000,64684.250000000000000,100352.142760000000000
17223,346535.000000000000000,110295.970000000000000,171114.847188000010000
17224,324798.000000000000000,265209.450000000010000,411450.107337000020000
17225,338224.000000000000000,79168.570000000007000,122823.329884000010000
17226,373424.000000000000000,52859.722453900002000,110578.839217999990000
17227,376769.000000000000000,87557.694485900007000,263517.073765999990000
17228,371304.000000000000000,177411.943521000010000,406603.829865999990000
17229,331739.000000000000000,42406.099999999999000,65789.485136500007000
17230,334348.000000000000000,2644.079999999999900,4102.065373200000100
17231,361079.000000000000000,24377.568794800001000,51512.763278999999000
